Apêndice C

3,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
1,Campos do Jordão,SABESP,51440,52,100,97,2.778,1.377,"6,06","Rio Capivari, Rio Sapucaí-Guaçu e afluentes"
1,Santo Antônio do Pinhal,SABESP,4033,47,100,80,218,136,"4,65","Rio da Prata, Rio Preto e afluentes"
1,São Bento do Sapucaí,SABESP,5224,92,75,76,282,133,"6,14",Rio Sapucaí Mirim e afluentes.
2,Aparecida,SAAE,35604,70,28,70,1.923,1.659,"2,56",Rio Paraíba
2,Arapeí,SABESP,1863,91,100,82,101,26,"8,22",Rio Barreiro de Baixo
2,Areias,PM,2598,100,0,,140,140,"1,50",Rib.Vermelho
2,Bananal,SABESP,8697,89,100,62,470,210,"6,92",Rio Bananal
2,Caçapava,SABESP,80018,100,99,75,4.321,1.125,"8,29",R. Paraíba e Cór.Boçoroca
2,Cachoeira Paulista,SABESP,27004,100,100,86,1.458,198,"10,00","R.Paraíba, Rib.das Pitas, Minhocas; Aguada; Cor. Rio Branco"
2,Canas,SABESP,4707,84,100,89,254,64,"8,12",Ribeirão Canas
2,Cruzeiro,SAAE,79809,74,0,,4.310,4.310,"1,12","R.Paraíba, Rib.Lopes e Cór.Pontilhão"
2,Cunha,PM,12040,90,16,33,650,619,"1,90",Cór.do Rodeio; Rib. Sete Cabeças
2,Guararema,SABESP,25340,53,100,70,1.368,859,"5,22",Rio Paraíba
2,Guaratinguetá,SAEG,115339,92,29,90,6.228,4.730,"3,58","R.Paraíba, Rib.Guaratinguetá, S.Gonçalo e Motas; Cór. Dos Escritores"
2,Igaratá,SABESP,7512,31,100,86,406,299,"4,18",Rib.Palmeiras afluente do Res.do Jaguari
2,Jacareí,SAAE,228660,98,71,98,12.348,3.938,"7,47",R.Paraíba do Sul e Rib.Turi
2,Jambeiro,SABESP,3104,100,100,85,168,25,"10,00",Rib.Capivari
2,Lagoinha,SABESP,3178,87,100,96,172,28,"9,51",Rib.Botucatu
2,Lavrinhas,SABESP,6615,64,18,87,357,321,"1,88","R.Paraíba do Sul; Rio Jacu, Rio Jacuizinho"
