Grupo de idade;População feminina(pessoas);População masculina(pessoas);Município;Sigla UF;Código do Município
100 anos ou mais;30;6;Diadema ;SP;3513801
95 a 99 anos;138;52;Diadema ;SP;3513801
90 a 94 anos;477;193;Diadema ;SP;3513801
85 a 89 anos;1136;536;Diadema ;SP;3513801
80 a 84 anos;2080;1205;Diadema ;SP;3513801
75 a 79 anos;3501;2416;Diadema ;SP;3513801
70 a 74 anos;5876;4261;Diadema ;SP;3513801
65 a 69 anos;8039;6052;Diadema ;SP;3513801
60 a 64 anos;10573;8239;Diadema ;SP;3513801
55 a 59 anos;12500;10336;Diadema ;SP;3513801
50 a 54 anos;14637;12543;Diadema ;SP;3513801
45 a 49 anos;15663;13449;Diadema ;SP;3513801
40 a 44 anos;17790;16136;Diadema ;SP;3513801
35 a 39 anos;17696;16320;Diadema ;SP;3513801
30 a 34 anos;16127;15314;Diadema ;SP;3513801
25 a 29 anos;15344;14979;Diadema ;SP;3513801
20 a 24 anos;15466;15458;Diadema ;SP;3513801
15 a 19 anos;13435;13597;Diadema ;SP;3513801
10 a 14 anos;12287;12864;Diadema ;SP;3513801
5 a 9 anos;12389;12840;Diadema ;SP;3513801
0 a 4 anos;10426;10831;Diadema ;SP;3513801
